Product ID*;Ref Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
43516;;Taille:select:0;XL:5;41020398-209-XL;41020398-209-XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020398-209-_0.jpg;1;;;;
43517;;Taille:select:0;2XL:6;41020398-655-2XL;41020398-655-2XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020398-655-_0.jpg;1;;;;
43517;;Taille:select:0;3XL:7;41020398-655-3XL;41020398-655-3XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020398-655-_0.jpg;1;;;;
43517;;Taille:select:0;4XL:8;41020398-655-4XL;41020398-655-4XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020398-655-_0.jpg;1;;;;
43517;;Taille:select:0;5XL:9;41020398-655-5XL;41020398-655-5XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020398-655-_0.jpg;1;;;;
43517;;Taille:select:0;L:4;41020398-655-L;41020398-655-L;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020398-655-_0.jpg;1;;;;
43517;;Taille:select:0;M:3;41020398-655-M;41020398-655-M;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020398-655-_0.jpg;1;;;;
43517;;Taille:select:0;S:2;41020398-655-S;41020398-655-S;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020398-655-_0.jpg;1;;;;
43517;;Taille:select:0;XL:5;41020398-655-XL;41020398-655-XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020398-655-_0.jpg;1;;;;
43518;;Taille:select:0;2XL:6;41020398-900-2XL;41020398-900-2XL;;;;;;4;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020398-900-_0.jpg;1;;;;
43518;;Taille:select:0;3XL:7;41020398-900-3XL;41020398-900-3XL;;;;;;3;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020398-900-_0.jpg;1;;;;
43518;;Taille:select:0;4XL:8;41020398-900-4XL;41020398-900-4XL;;;;;;2;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020398-900-_0.jpg;1;;;;
