id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
58770;;Side Panels Kawasaki/Suzuki;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;<ul><li>KX 65 00-08</li><li>RM 65 03-07</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58771;;Side Panels Kawasaki/Suzuki;;;;;;;;;;;;;;;;;;;;;;;;;;;Grün;<ul><li>KX 65 00-08</li><li>RM 65 03-07</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58772;;Radiator Scoops Yamaha;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;<ul><li>YZ 125/250 02-09 </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58773;;Side Panels Yamaha;;;;;;;;;;;;;;;;;;;;;;;;;;;Weiss;<ul><li>YZ 125/250 02-05</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58774;;Radiator Scoops Honda;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;<ul><li>50 COMPETITION 03-05</li><li>50 DERAPAGE 03-05</li><li>CRE 50 BAJA 03-05 </li><li>CRE 50 SIX 03-05</li><li>CR 125 R 02-07</li><li>CRE 125 00-06</li><li>CR 250 R 01-07</li><li>CRE 250 01-06</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58775;;Radiator Scoops Honda;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;<ul><li>CRE 450 F 2004</li><li>CRF 450 R 02-04</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58776;;Chain Sliders Suzuki;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;<ul><li>RM 125/250 96/98</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58777;;Chain Guides Suzuki/Yamaha;;;;;;;;;;;;;;;;;;;;;;;;;;;;<ul><li>SUZUKI:</li><li>RM 125 '99-11</li><li>RM 250 '99-11</li><li>RM-Z 250 '07-16</li><li>RM-Z 450 '05-16</li><li>YAMAHA:</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58778;;Chain Guides Kawasaki;;;;;;;;;;;;;;;;;;;;;;;;;;;;<ul><li>KX 125 '97-02</li><li>KX 250 '97-02</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58779;;Gabelschutz Universal;;;;;;;;;;;;;;;;;;;;;;;;;;;Aus Neopren / Schwarz / Paar;<ul><li>LÄNGE 365 MM</li><li>DURCHMESSER 40/50 MM</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
